ID,VAPID,LandmkName,Address,City,State,Zip,Phone,URL,X,Y,LOC,LastCheck,PlaceType,SrcTyp,Src,FIPScode,FIPSname
1,5.1153E+13,Bull Run Library,8051 Ashton Avenue,Manassas,VA,20109,703-792-4500,https://www.pwcva.gov/department/library/branch-locations-hours,-77.52050983,38.78697117,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
2,5.1153E+13,Independent Hill Library,14418 Bristow Road,Manassas,VA,20112,703-792-5668,https://www.pwcva.gov/department/library/branch-locations-hours,-77.44550806,38.63738625,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
3,5.1685E+13,Manassas Park City Library,"100 Park Central Plaza, Suite 100",Manassas Park,VA,20111,703-335-8842,https://manassasparkcitylibrary.org/,-77.4415281,38.76638925,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51685,Manassas Park City
4,5.1153E+13,Manassas Central Community Library,8601 Mathis Avenue,Manassas,VA,20110,703-792-8360,https://www.pwcva.gov/department/library/branch-locations-hours,-77.45492424,38.76873727,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
5,5.1107E+13,Ashburn Library,43316 Hay Road,Ashburn,VA,20147,703-737-8100,https://library.loudoun.gov/Ashburn,-77.50261245,39.04616637,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
6,5.1061E+13,John Marshall Library,4133 Rectortown Road,Marshall,VA,20115,540-422-8500,https://fauquierlibrary.org/about-us-2/library-locations/,-77.85487009,38.86845658,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51061,Fauquier County
7,5.1107E+13,Brambleton Library,22850 Brambleton Plaza,Brambleton,VA,20148,571-258-3998,https://library.loudoun.gov/Brambleton,-77.53637635,38.98497199,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
8,5.1059E+13,Centreville Regional Library,14200 St. Germain Drive,Centreville,VA,20121,703-830-2223,https://www.fairfaxcounty.gov/library/branches/centreville-regional-location,-77.44088172,38.83748423,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
9,5.1107E+13,Gum Spring Library,24600 Millstream Drive,Stone Ridge,VA,20105,571-258-3838,https://library.loudoun.gov/GumSpring,-77.54568065,38.93754144,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
10,5.1107E+13,Sterling Library,"22330 S. Sterling Blvd, Suite A117",Sterling,VA,20164,571-258-3309,https://library.loudoun.gov/Sterling,-77.40685507,38.99805381,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
11,5.1059E+13,Herndon Fortnightly Library,768 Center Street,Herndon,VA,20170,703-437-8855,https://www.fairfaxcounty.gov/library/branches/herndon-fortnightly-location,-77.38704996,38.9718509,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
12,5.1153E+13,Nokesville Neighborhood Library,12993 Fitzwater Drive,Nokesville,VA,20181,703-792-5665,https://www.pwcva.gov/department/library/branch-locations-hours,-77.58229851,38.69930367,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
13,5.1107E+13,Lovettsville Library,12 North Light Street,Lovettsville,VA,20180,703-737-8050,https://library.loudoun.gov/Lovettsville,-77.6355853,39.27426776,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
14,5.1153E+13,Haymarket Gainesville Library,14870 Lightner Road,Haymarket,VA,20169,703-792-8700,https://www.pwcva.gov/department/library/branch-locations-hours,-77.63214517,38.83660671,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
15,5.1107E+13,Purcellville Library,220 East Main Street,Purcellville,VA,20132,703-737-8490,https://library.loudoun.gov/Purcellville,-77.71235971,39.13641853,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
16,5.1107E+13,Rust Library,"380 Old Waterford Road, NW",Leesburg,VA,20176,703-777-0323,https://library.loudoun.gov/Rust,-77.56784765,39.12358779,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
17,5.1059E+13,Kings Park Library,9000 Burke Lake Road,Burke,VA,22015,703-978-5600,https://www.fairfaxcounty.gov/library/branches/kings-park-location,-77.25634958,38.80745997,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
